WO-MRR NUM,IS REWORK,PROD_CDE,HOURS BLAST TO PREP,PREP DAY,PREP SHIFT,PREP H,PREP QTY,PREP ASSOCIATE,PREP QTY IN THE SHIFT,PREPED IN THE SHIFT SO FAR,HOURS PREP TO FUR,FURN,HAS SCRAP AT SINTER,ASSOCIATE AXPERIENCE,Prep week,Has MRR
9660290-,0,PINN_PORO,48,3,2,3,10,152861369,52,10,0,FURN0006,0,2,1,0
9662872-1431271,1,PINN_PORO,432,5,2,7,1,152861369,93,70,0,FURN0004,0,2,1,1
9662885-,0,PINN_PORO,24,1,2,1,10,152834263,99,10,24,FURN0004,0,2,1,0
9662887-,0,PINN_PORO,24,1,2,0,10,152834263,99,0,0,FURN0004,1,2,1,0
9662892-,0,PINN_PORO,432,3,2,3,10,152861369,52,0,72,FURN0006,0,2,1,0
9662893-,0,PINN_PORO,24,4,1,16,10,152061442,131,51,24,FURN0006,0,2,1,0
9662900-,0,PINN_PORO,24,1,2,11,10,152852517,44,0,120,FURN0006,0,2,1,1
9662903-,0,PINN_PORO,48,2,2,6,10,152834263,107,47,0,FURN0006,0,2,1,0
9662905-1430729,1,PINN_PORO,528,3,2,7,1,152861369,52,21,24,FURN0006,0,2,1,1
9662917-,0,PINN_PORO,24,4,2,10,10,152872541,42,23,0,FURN0006,0,2,1,0
9662918-,0,PINN_PORO,48,2,2,2,7,152834263,107,20,24,FURN0006,0,2,1,0
9662942-,0,PINN_PORO,192,4,1,15,10,152834263,110,30,48,FURN0006,0,2,1,0
9662944-,0,PINN_PORO,48,1,2,8,10,152061442,119,89,72,FURN0006,0,2,1,0
9662945-,0,PINN_PORO,192,4,1,18,10,152834263,110,60,120,FURN0006,0,2,1,0
9662947-,0,PINN_PORO,48,1,2,7,10,152061442,119,79,72,FURN0006,0,2,1,0
9662954-,0,PINN_PORO,0,2,2,4,10,152834263,107,37,144,FURN0006,0,2,1,1
9663702-,0,PIN_GRIP_P,456,4,1,23,9,152051910,117,109,48,FURN0007,0,2,1,1
