WO-MRR NUM,IS REWORK,PROD_CDE,HOURS BLAST TO PREP,PREP DAY,PREP SHIFT,PREP H,PREP QTY,PREP ASSOCIATE,PREP QTY IN THE SHIFT,PREPED IN THE SHIFT SO FAR,HOURS PREP TO FUR,FURN,HAS SCRAP AT SINTER,ASSOCIATE AXPERIENCE,Prep week,Has MRR
9672607-,0,PIN_GRIP_P,24,4,1,18,10,152051910,130,70,48,FURN0007,1,3,4,0
9672608-,0,PIN_GRIP_P,0,5,1,20,10,152824995,70,60,24,FURN0007,0,2,2,0
9672612-,0,PIN_GRIP_P,0,4,1,17,10,152051910,130,60,24,FURN0007,0,3,4,0
9672614-,0,PIN_GRIP_P,24,4,1,21,10,152051910,130,100,48,FURN0007,1,3,4,0
9672619-,0,PIN_GRIP_P,264,3,2,11,10,152051910,115,105,24,FURN0007,0,3,5,0
9672623-,0,PIN_GRIP_P,48,1,2,7,10,152065732,60,40,0,FURN0007,0,2,3,0
9672628-,0,PINN_PORO,0,1,2,7,10,57000763,75,20,48,FURN0006,1,2,2,1
9672636-,0,PINN_PORO,168,1,2,8,10,152861369,92,42,48,FURN0006,0,2,3,0
9672639-,0,PINN_PORO,48,3,1,14,10,152061442,130,20,24,FURN0006,0,2,3,0
9672640-,0,PINN_PORO,120,6,2,7,10,152859275,56,30,24,FURN0004,0,1,2,0
9672650-,0,PINN_PORO,48,3,2,3,10,152834263,110,20,24,FURN0006,1,2,2,0
9672656-,0,PINN_PORO,24,5,2,10,10,152852517,77,40,24,FURN0006,0,2,2,1
9672660-,0,PINN_PORO,48,2,2,7,10,152848008,87,40,144,FURN0006,0,2,2,0
9672661-,0,PINN_PORO,144,1,2,6,10,152872541,64,14,48,FURN0006,0,2,3,0
9672664-,0,PINN_PORO,72,1,1,19,10,57000763,100,50,0,FURN0004,1,2,4,0
9672665-,0,PINN_PORO,24,1,1,20,10,152834263,110,90,48,FURN0004,1,2,3,0
9672668-,0,PINN_PORO,24,1,1,19,10,152834263,110,70,216,FURN0006,0,2,3,0
9672682-,0,PINN_PORO,120,7,2,4,10,152852517,27,17,24,FURN0006,0,2,2,0
